,Unnamed: 0,Date,X_outlier,y_outlier
442,442,2019-01-19,31.0,0.0
443,443,2019-01-19,28.9,0.0
444,444,2019-01-19,27.7,0.0
445,445,2019-01-19,26.0,0.0
446,446,2019-01-19,107.2,1.0
447,447,2019-01-19,21.7,0.0
448,448,2019-01-19,19.6,0.0
449,449,2019-01-19,19.7,0.0
450,450,2019-01-19,22.1,0.0
451,451,2019-01-19,21.6,0.0
452,452,2019-01-19,22.7,0.0
453,453,2019-01-19,24.6,0.0
454,454,2019-01-19,25.8,0.0
455,455,2019-01-19,25.2,0.0
456,456,2019-01-20,24.2,0.0
457,457,2019-01-20,20.1,0.0
458,458,2019-01-20,18.3,0.0
459,459,2019-01-20,16.5,0.0
460,460,2019-01-20,16.9,0.0
461,461,2019-01-20,19.4,0.0
462,462,2019-01-20,22.0,0.0
463,463,2019-01-20,25.2,0.0
464,464,2019-01-20,25.3,0.0
465,465,2019-01-20,18.1,0.0
466,466,2019-01-20,12.5,0.0
467,467,2019-01-20,10.8,0.0
468,468,2019-01-20,8.5,0.0
469,469,2019-01-20,10.3,0.0
470,470,2019-01-20,9.9,0.0
471,471,2019-01-20,12.8,0.0
472,472,2019-01-20,13.2,0.0
473,473,2019-01-20,10.5,0.0
474,474,2019-01-20,12.2,0.0
475,475,2019-01-20,13.2,0.0
476,476,2019-01-20,15.6,0.0
477,477,2019-01-20,19.4,0.0
478,478,2019-01-20,22.3,0.0
479,479,2019-01-20,21.3,0.0
480,480,2019-01-21,23.1,0.0
481,481,2019-01-21,20.9,0.0
482,482,2019-01-21,19.3,0.0
483,483,2019-01-21,16.8,0.0
484,484,2019-01-21,17.3,0.0
485,485,2019-01-21,19.8,0.0
486,486,2019-01-21,25.9,0.0
487,487,2019-01-21,32.5,0.0
488,488,2019-01-21,41.0,0.0
489,489,2019-01-21,50.2,0.0
490,490,2019-01-21,48.0,0.0
491,491,2019-01-21,36.5,0.0
492,492,2019-01-21,29.5,0.0
493,493,2019-01-21,23.0,0.0
494,494,2019-01-21,18.0,0.0
495,495,2019-01-21,18.2,0.0
496,496,2019-01-21,18.9,0.0
497,497,2019-01-21,24.3,0.0
498,498,2019-01-21,105.20899155174291,1.0
499,499,2019-01-21,29.5,0.0
500,500,2019-01-21,35.3,0.0
501,501,2019-01-21,41.4,0.0
502,502,2019-01-21,45.5,0.0
503,503,2019-01-21,40.6,0.0
504,504,2019-01-22,34.7,0.0
505,505,2019-01-22,30.3,0.0
506,506,2019-01-22,25.6,0.0
507,507,2019-01-22,20.6,0.0
508,508,2019-01-22,18.5,0.0
509,509,2019-01-22,20.3,0.0
510,510,2019-01-22,25.8,0.0
511,511,2019-01-22,27.0,0.0
512,512,2019-01-22,30.9,0.0
513,513,2019-01-22,33.1,0.0
514,514,2019-01-22,31.4,0.0
515,515,2019-01-22,29.2,0.0
516,516,2019-01-22,26.4,0.0
517,517,2019-01-22,25.9,0.0
518,518,2019-01-22,26.6,0.0
519,519,2019-01-22,26.3,0.0
520,520,2019-01-22,25.9,0.0
521,521,2019-01-22,23.0,0.0
522,522,2019-01-22,22.3,0.0
523,523,2019-01-22,26.2,0.0
524,524,2019-01-22,27.9,0.0
525,525,2019-01-22,31.8,0.0
526,526,2019-01-22,32.0,0.0
527,527,2019-01-22,30.0,0.0
528,528,2019-01-23,28.8,0.0
529,529,2019-01-23,26.2,0.0
530,530,2019-01-23,23.5,0.0
531,531,2019-01-23,19.8,0.0
532,532,2019-01-23,17.5,0.0
533,533,2019-01-23,18.0,0.0
534,534,2019-01-23,23.5,0.0
535,535,2019-01-23,29.5,0.0
536,536,2019-01-23,32.1,0.0
537,537,2019-01-23,31.3,0.0
538,538,2019-01-23,29.0,0.0
539,539,2019-01-23,25.2,0.0
540,540,2019-01-23,23.1,0.0
541,541,2019-01-23,25.3,0.0
542,542,2019-01-23,23.5,0.0
543,543,2019-01-23,20.5,0.0
544,544,2019-01-23,23.3,0.0
545,545,2019-01-23,26.2,0.0
546,546,2019-01-23,28.5,0.0
547,547,2019-01-23,30.3,0.0
548,548,2019-01-23,32.3,0.0
549,549,2019-01-23,45.036059403223526,0.0
550,550,2019-01-23,40.5,0.0
551,551,2019-01-23,40.3,0.0
552,552,2019-01-24,35.9,0.0
553,553,2019-01-24,30.1,0.0
554,554,2019-01-24,28.0,0.0
555,555,2019-01-24,26.0,0.0
556,556,2019-01-24,21.4,0.0
557,557,2019-01-24,23.3,0.0
558,558,2019-01-24,26.4,0.0
559,559,2019-01-24,33.6,0.0
560,560,2019-01-24,36.7,0.0
561,561,2019-01-24,32.4,0.0
562,562,2019-01-24,27.0,0.0
563,563,2019-01-24,23.6,0.0
564,564,2019-01-24,24.7,0.0
565,565,2019-01-24,23.2,0.0
566,566,2019-01-24,22.0,0.0
567,567,2019-01-24,29.2,0.0
568,568,2019-01-24,59.3,0.0
569,569,2019-01-24,63.5,0.0
570,570,2019-01-24,50.7,0.0
571,571,2019-01-24,38.9,0.0
572,572,2019-01-24,34.5,0.0
573,573,2019-01-24,36.8,0.0
574,574,2019-01-24,39.0,0.0
575,575,2019-01-24,41.2,0.0
576,576,2019-01-25,48.3,0.0
577,577,2019-01-25,38.9,0.0
578,578,2019-01-25,31.7,0.0
579,579,2019-01-25,23.7,0.0
580,580,2019-01-25,22.5,0.0
581,581,2019-01-25,24.0,0.0
582,582,2019-01-25,29.2,0.0
583,583,2019-01-25,35.4,0.0
584,584,2019-01-25,41.0,0.0
585,585,2019-01-25,39.5,0.0
586,586,2019-01-25,45.6,0.0
587,587,2019-01-25,61.4,0.0
588,588,2019-01-25,81.3,0.0
589,589,2019-01-25,74.5,0.0
590,590,2019-01-25,36.8,0.0
591,591,2019-01-25,29.7,0.0
592,592,2019-01-25,27.0,0.0
593,593,2019-01-25,29.3,0.0
594,594,2019-01-25,33.0,0.0
595,595,2019-01-25,33.2,0.0
596,596,2019-01-25,32.8,0.0
597,597,2019-01-25,34.0,0.0
598,598,2019-01-25,40.7,0.0
599,599,2019-01-25,41.8,0.0
600,600,2019-01-26,36.3,0.0
601,601,2019-01-26,27.9,0.0
602,602,2019-01-26,22.3,0.0
603,603,2019-01-26,19.4,0.0
604,604,2019-01-26,18.6,0.0
605,605,2019-01-26,22.1,0.0
606,606,2019-01-26,29.5,0.0
607,607,2019-01-26,38.6,0.0
608,608,2019-01-26,44.3,0.0
609,609,2019-01-26,55.0,0.0
610,610,2019-01-26,68.1,0.0
611,611,2019-01-26,68.5,0.0
612,612,2019-01-26,69.6,0.0
613,613,2019-01-26,66.4,0.0
614,614,2019-01-26,60.9,0.0
615,615,2019-01-26,58.1,0.0
616,616,2019-01-26,41.7,0.0
617,617,2019-01-26,30.7,0.0
618,618,2019-01-26,24.6,0.0
619,619,2019-01-26,24.3,0.0
620,620,2019-01-26,24.7,0.0
621,621,2019-01-26,23.5,0.0
622,622,2019-01-26,25.1,0.0
623,623,2019-01-26,31.0,0.0
624,624,2019-01-27,35.4,0.0
625,625,2019-01-27,27.1,0.0
626,626,2019-01-27,19.4,0.0
627,627,2019-01-27,16.2,0.0
628,628,2019-01-27,19.1,0.0
629,629,2019-01-27,18.3,0.0
630,630,2019-01-27,21.1,0.0
631,631,2019-01-27,23.9,0.0
632,632,2019-01-27,25.7,0.0
633,633,2019-01-27,31.2,0.0
634,634,2019-01-27,39.7,0.0
635,635,2019-01-27,40.1,0.0
636,636,2019-01-27,30.3,0.0
637,637,2019-01-27,23.3,0.0
